OrganizationFormalName,ActivityStartDate,ProjectName,MonitoringLocationName,Latitude,Logitude,ResultIdentifier,CharacteristicName,ResultMeasureValue,ResultMeasureUnit,AnalyticalMethod
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331618,Lead,0.00021,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res P1,47.52126147,-121.8426366,STORET-921701400,Zinc,7.01000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331624,Copper,0.00095,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res B7x,47.52191808,-121.8371192,STORET-921700254,Arsenic,1.21000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/10/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331596,Arsenic,0.00086,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),8/6/2019,Surface Water - Nutrient Monitoring,SW118,48.790678,-122.5907,STORET-827933273,Iron,1.03000,mg/L,200.7
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res A1,47.51589811,-121.8444247,STORET-921699683,Magnesium,1990.00000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),2/20/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827930375,Zinc,0.01000,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res CB1,47.5199,-121.849,STORET-921701094,Lead,1.82000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),2/20/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827930374,"Hardness, Ca, Mg",65.40000,mg/L,200.7
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res P1,47.52126147,-121.8426366,STORET-921701397,Copper,3.40000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),3/28/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827931121,Copper,0.01000,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res CB1,47.5199,-121.849,STORET-921701115,Zinc,34.90000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),4/22/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827931457,Copper,0.02000,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res C8,47.5170893,-121.8402976,STORET-921700806,Copper,1.47000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/10/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331594,Lead,0.00012,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res A6,47.52230523,-121.8395362,STORET-921699950,Magnesium,6460.00000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res P1,47.52126147,-121.8426366,STORET-921701380,Zinc,14.40000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),11/13/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331687,Calcium,22.80000,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331608,Arsenic,0.00085,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res A1,47.51589811,-121.8444247,STORET-921699662,Lead,0.63800,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),11/13/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331689,Magnesium,6.30000,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res CB1,47.5199,-121.849,STORET-921701111,Arsenic,0.63400,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),5/7/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827931773,Chromium,0.00630,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res B7x,47.52191808,-121.8371192,STORET-921700237,Magnesium,6350.00000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/10/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331606,Lead,0.00056,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),8/21/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331644,Arsenic,0.00024,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331611,Chromium,0.00600,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res C8,47.5170893,-121.8402976,STORET-921700826,Copper,6.97000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res CB1,47.5199,-121.849,STORET-921701092,Copper,15.70000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res C8,47.5170893,-121.8402976,STORET-921700828,Magnesium,15200.00000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),2/20/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827930385,Copper,0.00170,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/21/2019,Surface Water - Nutrient Monitoring,SW118,48.790678,-122.5907,STORET-827934287,Iron,0.68000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331613,Calcium,4.72000,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res CB1,47.5199,-121.849,STORET-921701095,Zinc,71.10000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331629,Iron,0.02990,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),5/7/2019,Surface Water - Nutrient Monitoring,SW118,48.790678,-122.5907,STORET-827931844,Iron,0.95000,mg/L,200.7
Lummi Tribe of the Lummi Reservation (Tribal),4/22/2019,Surface Water - Nutrient Monitoring,SW002,48.77171139,-122.6790879,STORET-827931515,Iron,0.21000,mg/L,200.7
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res Basket,47.5212,-121.842,STORET-921700522,Copper,4.53000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/10/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331587,Chromium,0.00300,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),11/13/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331701,Magnesium,2.89000,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/10/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331603,Magnesium,1.74000,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),8/5/2019,Surface Water - Nutrient Monitoring,SW002,48.77171139,-122.6790879,STORET-827933104,Copper,0.03000,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),11/13/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331699,Calcium,8.76000,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/22/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827934414,Tin,0.00400,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),3/28/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827931114,Tin,0.00015,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),2/20/2019,Surface Water - Nutrient Monitoring,SW003,48.80713259,-122.6626604,STORET-827930346,Iron,1.61000,mg/L,200.7
Lummi Tribe of the Lummi Reservation (Tribal),8/5/2019,Surface Water - Nutrient Monitoring,SW002,48.77171139,-122.6790879,STORET-827933125,Iron,0.11000,mg/L,200.7
Lummi Tribe of the Lummi Reservation (Tribal),3/28/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827931124,"Hardness, Ca, Mg",5441.00000,mg/L,200.7
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res Basket,47.5212,-121.842,STORET-921700540,Arsenic,0.64900,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res A6,47.52230523,-121.8395362,STORET-921699970,Magnesium,6310.00000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res C8,47.5170893,-121.8402976,STORET-921700829,Zinc,60.70000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res A6,47.52230523,-121.8395362,STORET-921699951,Zinc,5.92000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),11/13/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331682,Arsenic,0.00127,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res CB1,47.5199,-121.849,STORET-921701114,Magnesium,1210.00000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331612,Copper,0.00026,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/21/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827934248,Copper,0.00410,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/21/2019,Surface Water - Regular Monitoring,SW075,48.810096,-122.569058,STORET-827934526,Chromium,0.00210,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/10/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331584,Arsenic,0.00097,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),8/5/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827933197,Copper,0.03000,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res P1,47.52126147,-121.8426366,STORET-921701377,Copper,4.62000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/21/2019,Surface Water - Regular Monitoring,SW075,48.810096,-122.569058,STORET-827934525,Copper,0.00190,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),3/28/2019,Surface Water - Nutrient Monitoring,SW002,48.77171139,-122.6790879,STORET-827931085,Copper,0.01000,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res C8,47.5170893,-121.8402976,STORET-921700809,Zinc,19.20000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res B7x,47.52191808,-121.8371192,STORET-921700255,Copper,1.32000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res A1,47.51589811,-121.8444247,STORET-921699684,Zinc,19.90000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/10/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331599,Chromium,0.00900,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res P1,47.52126147,-121.8426366,STORET-921701399,Magnesium,1990.00000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res Parking Lot,47.5215,-121.843,STORET-921701664,Copper,8.23000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331625,Calcium,17.10000,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res A6,47.52230523,-121.8395362,STORET-921699967,Arsenic,1.95000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res CB1,47.5199,-121.849,STORET-921701113,Lead,0.53400,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res P1,47.52126147,-121.8426366,STORET-921701379,Magnesium,5580.00000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res P1,47.52126147,-121.8426366,STORET-921701396,Arsenic,0.56900,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),5/7/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827931767,"Hardness, Ca, Mg",58.09000,mg/L,200.7
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res A1,47.51589811,-121.8444247,STORET-921699661,Copper,3.41000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),8/5/2019,Surface Water - Nutrient Monitoring,SW002,48.77171139,-122.6790879,STORET-827933108,"Hardness, Ca, Mg",5649.70000,mg/L,200.7
Lummi Tribe of the Lummi Reservation (Tribal),2/5/2019,Surface Water - Regular Monitoring,SW075,48.810096,-122.569058,STORET-827930022,Zinc,0.01000,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/21/2019,Surface Water - Regular Monitoring,SW075,48.810096,-122.569058,STORET-827934521,Lead,0.00017,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),8/21/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331653,Iron,0.34900,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res Parking Lot,47.5215,-121.843,STORET-921701684,Copper,32.50000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res Parking Lot,47.5215,-121.843,STORET-921701667,Zinc,10.40000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),2/5/2019,Surface Water - Regular Monitoring,SW075,48.810096,-122.569058,STORET-827930024,"Hardness, Ca, Mg",78.30000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331627,Magnesium,4.61000,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331623,Chromium,0.00300,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),8/21/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331648,Copper,0.00013,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res B7x,47.52191808,-121.8371192,STORET-921700238,Zinc,3.79000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),4/22/2019,Surface Water - Nutrient Monitoring,SW002,48.77171139,-122.6790879,STORET-827931503,Zinc,0.00280,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res Basket,47.5212,-121.842,STORET-921700524,Magnesium,5420.00000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),4/22/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827931449,Tin,0.00490,mg/L,200.7
Lummi Tribe of the Lummi Reservation (Tribal),10/22/2019,Surface Water - Nutrient Monitoring,SW002,48.77171139,-122.6790879,STORET-827934341,Iron,0.04000,mg/L,200.7
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res Basket,47.5212,-121.842,STORET-921700525,Zinc,15.60000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res B7x,47.52191808,-121.8371192,STORET-921700257,Magnesium,7220.00000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/21/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827934239,Lead,0.00110,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res CB1,47.5199,-121.849,STORET-921701093,Magnesium,6220.00000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),2/5/2019,Surface Water - Regular Monitoring,SW075,48.810096,-122.569058,STORET-827930028,Copper,0.02000,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res A1,47.51589811,-121.8444247,STORET-921699682,Lead,2.98000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res A1,47.51589811,-121.8444247,STORET-921699663,Magnesium,2280.00000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res C8,47.5170893,-121.8402976,STORET-921700808,Magnesium,3580.00000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),8/5/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827933198,Tin,0.00310,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331620,Arsenic,0.00120,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res C8,47.5170893,-121.8402976,STORET-921700807,Lead,0.93000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/10/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331589,Calcium,20.30000,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/22/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827934408,"Hardness, Ca, Mg",4110.00000,mg/L,200.7
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res A1,47.51589811,-121.8444247,STORET-921699664,Zinc,9.31000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),11/13/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331700,"Hardness, carbonate",33.80000,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331617,Iron,0.54500,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),4/22/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827931454,"Hardness, Ca, Mg",5692.70000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/10/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331600,Copper,0.00150,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),4/22/2019,Surface Water - Nutrient Monitoring,SW002,48.77171139,-122.6790879,STORET-827931504,Copper,0.02000,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res C8,47.5170893,-121.8402976,STORET-921700825,Arsenic,0.67100,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),2/5/2019,Surface Water - Regular Monitoring,SW075,48.810096,-122.569058,STORET-827930025,Lead,0.00290,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res Parking Lot,47.5215,-121.843,STORET-921701683,Arsenic,0.60500,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),8/5/2019,Surface Water - Nutrient Monitoring,SW002,48.77171139,-122.6790879,STORET-827933117,Zinc,0.00360,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),4/22/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827931452,Zinc,0.00380,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/22/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827934403,Zinc,0.00940,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/21/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827934244,Chromium,0.00990,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res B7x,47.52191808,-121.8371192,STORET-921700258,Zinc,3.72000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),3/28/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827931122,Arsenic,0.00050,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),2/20/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827930384,Chromium,0.01000,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res Parking Lot,47.5215,-121.843,STORET-921701686,Magnesium,660.00000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res Parking Lot,47.5215,-121.843,STORET-921701666,Magnesium,1740.00000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),8/5/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827933203,"Hardness, Ca, Mg",5381.50000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),8/21/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331649,Calcium,7.80000,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/21/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827934240,Zinc,0.01000,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),5/7/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827931775,Lead,0.00017,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res A1,47.51589811,-121.8444247,STORET-921699681,Copper,19.20000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),2/5/2019,Surface Water - Nutrient Monitoring,SW118,48.790678,-122.5907,STORET-827930005,Iron,0.72000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),8/21/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331641,Iron,0.02520,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),8/21/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331635,Chromium,0.00200,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/26/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331615,Magnesium,1.49000,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),8/21/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331639,Magnesium,5.47000,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/10/2019,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-918331601,Calcium,5.40000,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),11/13/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331691,Iron,0.02010,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),5/7/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827931772,Copper,0.00230,mg/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),8/21/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331636,Copper,0.00081,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),8/5/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827933208,Zinc,0.00480,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res Basket,47.5212,-121.842,STORET-921700544,Zinc,5.96000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),8/21/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331637,Calcium,20.40000,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/22/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827934413,Copper,0.01000,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res Basket,47.5212,-121.842,STORET-921700541,Copper,3.00000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),5/7/2019,Surface Water - Nutrient Monitoring,SW003,48.80713259,-122.6626604,STORET-827931801,Iron,272.70000,mg/L,200.7
Lummi Tribe of the Lummi Reservation (Tribal),10/21/2019,Surface Water - Regular Monitoring,SW075,48.810096,-122.569058,STORET-827934517,Zinc,0.00380,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),10/21/2019,Surface Water - Regular Monitoring,SW075,48.810096,-122.569058,STORET-827934527,"Hardness, Ca, Mg",72.69000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),11/13/2019,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331688,"Hardness, carbonate",83.00000,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),2/20/2019,Surface Water - Nutrient Monitoring,SW015,48.80313592,-122.6243092,STORET-827930439,Iron,5.46000,mg/L,200.7
Lummi Tribe of the Lummi Reservation (Tribal),3/28/2019,Surface Water - Nutrient Monitoring,SW002,48.77171139,-122.6790879,STORET-827931083,Zinc,0.00210,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),4/5/2019,319,Res A6,47.52230523,-121.8395362,STORET-921699948,Copper,1.47000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res A1,47.51589811,-121.8444247,STORET-921699680,Arsenic,0.83800,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),3/28/2019,Surface Water - Nutrient Monitoring,SW002,48.77171139,-122.6790879,STORET-827931096,Iron,0.14000,mg/L,200.7
Lummi Tribe of the Lummi Reservation (Tribal),10/21/2019,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-827934238,"Hardness, Ca, Mg",51.50000,mg/L,200.7
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res CB1,47.5199,-121.849,STORET-921701112,Copper,19.60000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),3/28/2019,Surface Water - Regular Monitoring,SW001,48.79649636,-122.7063606,STORET-827931113,Zinc,0.00510,mg/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res Parking Lot,47.5215,-121.843,STORET-921701687,Zinc,24.50000,ug/L,200.8
Snoqualmie Indian Tribe (Tribal),10/16/2019,319,Res Basket,47.5212,-121.842,STORET-921700543,Magnesium,1830.00000,ug/L,200.8
Kalispel Indian Community of the Kalispel Reservation (Tribal),3/14/2018,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-918331167,Copper,0.00074,mg/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),11/19/2018,Surface Water - Nutrient Monitoring,SW118,48.790678,-122.5907,STORET-778099285,Iron,0.34000,mg/L,200.7
Lummi Tribe of the Lummi Reservation (Tribal),3/13/2018,Surface Water - Regular Monitoring,SW075,48.810096,-122.569058,STORET-778095532,"Hardness, Ca, Mg",86.69000,mg/L,200.7
Snoqualmie Indian Tribe (Tribal),3/16/2018,319,Res A6,47.52230523,-121.8395362,STORET-921699928,Copper,2.19000,ug/L,200.8
Lummi Tribe of the Lummi Reservation (Tribal),3/1/2018,Surface Water - Metals and Hydrocarbons,SW014,48.81948368,-122.6866845,STORET-778095328,Tin,0.01000,mg/L,200.7
